fold,origin,target_time,source_start,prep_minutes,source_status,eligible_alert_order_for_source,scenario,horizon,alarm_source,scenario_label,evaluation_phase,selected_point_model,selected_risk_model
0,2021-04-21 12:15:00,2021-04-21 16:15:00,2021-04-21 16:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-21 12:30:00,2021-04-21 16:30:00,2021-04-21 16:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 04:15:00,2021-04-22 08:15:00,2021-04-22 08:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 04:30:00,2021-04-22 08:30:00,2021-04-22 08:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 04:45:00,2021-04-22 08:45:00,2021-04-22 08:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 05:00:00,2021-04-22 09:00:00,2021-04-22 08:00:00,30,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 05:15:00,2021-04-22 09:15:00,2021-04-22 09:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 05:30:00,2021-04-22 09:30:00,2021-04-22 09:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 05:45:00,2021-04-22 09:45:00,2021-04-22 09:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 06:00:00,2021-04-22 10:00:00,2021-04-22 09:00:00,30,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 06:15:00,2021-04-22 10:15:00,2021-04-22 10:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 06:30:00,2021-04-22 10:30:00,2021-04-22 10:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 06:45:00,2021-04-22 10:45:00,2021-04-22 10:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 07:00:00,2021-04-22 11:00:00,2021-04-22 10:00:00,30,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 07:15:00,2021-04-22 11:15:00,2021-04-22 11:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 07:30:00,2021-04-22 11:30:00,2021-04-22 11:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-22 07:45:00,2021-04-22 11:45:00,2021-04-22 11:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
