horizon,model,fold,n,peak_n,mae,rmse,mape_nonzero,peak_mae,position_tp,position_fp,position_fn,position_f1,episode_tp,episode_fp,episode_fn,episode_f1,false_alarms_positions,timing_mae_minutes,magnitude_mae,peak_mae_ci95,brier,pr_auc,coverage_0.1,top_coverage_0.1,pinball_0.1,coverage_0.5,top_coverage_0.5,pinball_0.5,coverage_0.9,top_coverage_0.9,pinball_0.9,coverage_0.95,top_coverage_0.95,pinball_0.95,coverage_0.975,top_coverage_0.975,pinball_0.975,pinball_mean
1,lgbm_weight_4,0,2750,41,5.835432138675858,8.286818180963168,8.088792379501717,7.5255814657307365,41,436,0,0.1583011583011583,22,85,1,0.3384615384615385,436,22.5,3.2871768071924223,"[5.271996727995995, 10.151678737821365]",,,,,,,,,,,,,,,,,,
1,lgbm_weight_4,1,2750,140,2.947586752880788,4.14786843756523,3.93037271534666,2.696905691042248,124,20,16,0.8732394366197183,54,5,11,0.8709677419354839,20,3.3333333333333335,2.5949948128407105,"[2.1405926251357164, 3.218206470455497]",,,,,,,,,,,,,,,,,,
1,lgbm_weight_4,2,2064,235,4.684931652652636,7.49310958993645,8.135576769665136,13.264410118363402,212,48,23,0.8565656565656565,42,12,14,0.7636363636363637,48,22.857142857142858,11.665469815327517,"[10.905895689447606, 15.505620276946033]",,,,,,,,,,,,,,,,,,
1,p1_latest,0,2750,41,8.812,14.802419949577041,8.990704614404212,11.292682926829269,38,714,3,0.09583858764186633,20,95,3,0.2898550724637681,714,15.0,0.0,"[8.267801339285715, 15.942896825396826]",,,,,,,,,,,,,,,,,,
1,p1_latest,1,2750,140,8.427272727272728,13.813945522879802,7.906614242639979,11.35,79,82,61,0.5249169435215947,36,37,29,0.5217391304347826,82,15.0,0.0,"[9.940739171374766, 12.882854554865423]",,,,,,,,,,,,,,,,,,
1,p1_latest,2,2064,235,5.58672480620155,11.784503192917212,6.470547152595355,11.174468085106383,185,69,50,0.7566462167689162,47,12,9,0.8173913043478261,69,15.638297872340425,0.0425531914893617,"[10.212846902720013, 12.443618321154029]",,,,,,,,,,,,,,,,,,
1,p2_hour_slot,0,2750,41,19.78218181818182,31.46201750451718,22.284583269704147,73.02439024390245,17,785,24,0.04033214709371293,14,100,9,0.20437956204379562,785,70.71428571428571,11.928571428571429,"[52.392492492492494, 91.36011627906976]",,,,,,,,,,,,,,,,,,
1,p2_hour_slot,1,2750,140,18.541090909090908,29.287689005326577,18.60535228959161,37.34285714285714,101,853,39,0.1846435100548446,22,74,43,0.2732919254658385,853,64.0909090909091,3.590909090909091,"[29.8545293857711, 44.753409090909095]",,,,,,,,,,,,,,,,,,
1,p2_hour_slot,2,2064,235,12.873062015503876,26.596595195043147,14.159446733890077,35.11914893617021,171,211,64,0.5542949756888168,27,9,29,0.5869565217391305,211,64.44444444444444,4.703703703703703,"[31.130651398977673, 41.598014884744586]",,,,,,,,,,,,,,,,,,
1,p3_recent_mean,0,2750,41,12.737363636363636,20.429958505720332,14.07717931633444,36.65853658536585,33,934,8,0.06547619047619048,15,42,8,0.375,934,43.0,6.183333333333334,"[30.931528046421665, 45.03333333333333]",,,,,,,,,,,,,,,,,,
1,p3_recent_mean,1,2750,140,11.972272727272728,19.143226312102243,11.919656214478982,20.619642857142857,88,188,52,0.4230769230769231,27,25,38,0.46153846153846156,188,44.44444444444444,5.277777777777778,"[17.8200112396816, 23.4967786259542]",,,,,,,,,,,,,,,,,,
1,p3_recent_mean,2,2064,235,8.233042635658915,17.061075734916546,9.372989786185013,18.72872340425532,197,147,38,0.6804835924006909,25,2,31,0.6024096385542169,147,57.0,6.4,"[16.90087480192589, 21.823349389097743]",,,,,,,,,,,,,,,,,,
