horizon,ratio,rule,prep_minutes,true_episodes,missed_episodes,false_episodes,episode_hit_rate,false_alarm_positions_per_operating_hour,actionable_alert_positions,nonactionable_alert_positions,actionable_tp_episodes,actionable_episode_hit_rate,mean_actionable_lead_minutes
16,0.05,2/2,30,82,66,134,0.5540540540540541,0.4331821819151774,1183,0,82,0.5540540540540541,224.6341463414634
16,0.05,2/2,60,82,66,134,0.5540540540540541,0.4331821819151774,1183,0,82,0.5540540540540541,194.6341463414634
16,0.05,2/3,15,64,84,83,0.43243243243243246,0.5921579087756735,1491,0,64,0.43243243243243246,252.890625
16,0.05,2/3,30,64,84,83,0.43243243243243246,0.5921579087756735,1491,0,64,0.43243243243243246,237.890625
16,0.05,2/3,60,64,84,83,0.43243243243243246,0.5921579087756735,1491,0,64,0.43243243243243246,207.890625
16,0.1,1/1,15,87,61,175,0.5878378378378378,0.559615897572686,1445,0,87,0.5878378378378378,252.24137931034483
16,0.1,1/1,30,87,61,175,0.5878378378378378,0.559615897572686,1445,0,87,0.5878378378378378,237.24137931034483
16,0.1,1/1,60,87,61,175,0.5878378378378378,0.559615897572686,1445,0,87,0.5878378378378378,207.24137931034483
16,0.1,2/2,15,82,66,134,0.5540540540540541,0.4331821819151774,1183,0,82,0.5540540540540541,239.6341463414634
16,0.1,2/2,30,82,66,134,0.5540540540540541,0.4331821819151774,1183,0,82,0.5540540540540541,224.6341463414634
16,0.1,2/2,60,82,66,134,0.5540540540540541,0.4331821819151774,1183,0,82,0.5540540540540541,194.6341463414634
16,0.1,2/3,15,64,84,83,0.43243243243243246,0.5921579087756735,1491,0,64,0.43243243243243246,252.890625
16,0.1,2/3,30,64,84,83,0.43243243243243246,0.5921579087756735,1491,0,64,0.43243243243243246,237.890625
16,0.1,2/3,60,64,84,83,0.43243243243243246,0.5921579087756735,1491,0,64,0.43243243243243246,207.890625
