horizon,fold,partition,feature,n,missing_n,missing_rate
1,1,raw_train,since_last_peak_intervals,12693,0,0.0
1,1,raw_train,target_hour,12693,0,0.0
1,1,raw_train,target_quarter,12693,0,0.0
1,1,raw_train,target_weekday,12693,0,0.0
1,1,raw_train,target_month,12693,0,0.0
1,1,raw_train,is_offday,12693,0,0.0
1,1,raw_train,pre_holiday,12693,0,0.0
1,1,raw_train,post_holiday,12693,0,0.0
1,1,raw_train,bridge_day,12693,0,0.0
1,1,raw_train,labor_day,12693,0,0.0
1,1,raw_train,production_completed_1h,12693,3,0.0002363507445048452
1,1,raw_train,production_completed_2h,12693,7,0.0005514850705113054
1,1,raw_train,production_completed_3h,12693,11,0.0008666193965177657
1,1,raw_train,production_previous_day_total,12693,95,0.007484440242653431
1,1,raw_train,production_same_slot_7d_mean,12693,675,0.05317891751359017
1,1,raw_train,cbl_mid_6_10,12693,1439,0.11336957378082407
1,1,raw_train,cbl_mid_6_10_adjusted,12693,1439,0.11336957378082407
1,1,raw_validation,current,4231,0,0.0
1,1,raw_validation,lag_1,4231,0,0.0
1,1,raw_validation,lag_2,4231,0,0.0
1,1,raw_validation,lag_3,4231,0,0.0
1,1,raw_validation,lag_4,4231,0,0.0
1,1,raw_validation,lag_5,4231,0,0.0
1,1,raw_validation,lag_6,4231,0,0.0
1,1,raw_validation,lag_7,4231,0,0.0
1,1,raw_validation,lag_96,4231,0,0.0
1,1,raw_validation,lag_672,4231,0,0.0
1,1,raw_validation,target_slot_1d_ago,4231,0,0.0
1,1,raw_validation,target_slot_7d_ago,4231,0,0.0
1,1,raw_validation,recent_1_mean,4231,0,0.0
1,1,raw_validation,recent_1_max,4231,0,0.0
1,1,raw_validation,recent_1_std,4231,0,0.0
1,1,raw_validation,recent_4_mean,4231,0,0.0
1,1,raw_validation,recent_4_max,4231,0,0.0
1,1,raw_validation,recent_4_std,4231,0,0.0
1,1,raw_validation,recent_16_mean,4231,0,0.0
1,1,raw_validation,recent_16_max,4231,0,0.0
1,1,raw_validation,recent_16_std,4231,0,0.0
1,1,raw_validation,recent_96_mean,4231,0,0.0
1,1,raw_validation,recent_96_max,4231,0,0.0
1,1,raw_validation,recent_96_std,4231,0,0.0
1,1,raw_validation,recent_4_slope,4231,0,0.0
1,1,raw_validation,peak_count_7d,4231,0,0.0
1,1,raw_validation,since_last_peak_intervals,4231,0,0.0
1,1,raw_validation,target_hour,4231,0,0.0
1,1,raw_validation,target_quarter,4231,0,0.0
1,1,raw_validation,target_weekday,4231,0,0.0
1,1,raw_validation,target_month,4231,0,0.0
1,1,raw_validation,is_offday,4231,0,0.0
1,1,raw_validation,pre_holiday,4231,0,0.0
1,1,raw_validation,post_holiday,4231,0,0.0
1,1,raw_validation,bridge_day,4231,0,0.0
