fold,target_time,episode_end,intervals,actual_max_excess,predicted_max_pointwise_excess,signed_error,absolute_error,status
1,2021-06-15 14:15:00,2021-06-15 14:30:00,2,5.0,1.5109769295787208,-3.489023070421279,3.489023070421279,evaluated
1,2021-06-15 16:45:00,2021-06-15 16:45:00,1,4.0,0.9369838591432876,-3.0630161408567123,3.0630161408567123,evaluated
1,2021-06-16 08:30:00,2021-06-16 08:45:00,2,8.0,2.578900452736544,-5.421099547263456,5.421099547263456,evaluated
1,2021-06-16 09:45:00,2021-06-16 10:00:00,2,15.0,4.447232137510522,-10.552767862489478,10.552767862489478,evaluated
1,2021-06-16 10:30:00,2021-06-16 11:15:00,4,16.0,4.472843116023942,-11.527156883976058,11.527156883976058,evaluated
1,2021-06-16 15:45:00,2021-06-16 15:45:00,1,3.0,0.6817932103759247,-2.3182067896240754,2.3182067896240754,evaluated
1,2021-06-17 08:15:00,2021-06-17 09:30:00,6,20.0,7.2322187923963055,-12.767781207603694,12.767781207603694,evaluated
1,2021-06-17 10:00:00,2021-06-17 10:00:00,1,2.0,0.9298562813706938,-1.0701437186293061,1.0701437186293061,evaluated
1,2021-06-17 11:15:00,2021-06-17 11:30:00,2,13.0,4.739879747452473,-8.260120252547527,8.260120252547527,evaluated
1,2021-06-17 13:30:00,2021-06-17 14:00:00,3,15.0,6.66237317873699,-8.33762682126301,8.33762682126301,evaluated
1,2021-06-17 14:30:00,2021-06-17 14:30:00,1,2.0,0.8130639582922679,-1.1869360417077321,1.1869360417077321,evaluated
1,2021-06-17 15:00:00,2021-06-17 15:00:00,1,12.0,4.779797367295144,-7.220202632704856,7.220202632704856,evaluated
1,2021-06-17 15:30:00,2021-06-17 15:45:00,2,2.0,0.8944777491052714,-1.1055222508947287,1.1055222508947287,evaluated
1,2021-06-18 10:00:00,2021-06-18 10:00:00,1,9.0,2.5029979514680165,-6.497002048531984,6.497002048531984,evaluated
1,2021-06-18 10:30:00,2021-06-18 10:30:00,1,2.0,0.9895756986175228,-1.0104243013824772,1.0104243013824772,evaluated
1,2021-06-18 11:30:00,2021-06-18 11:45:00,2,8.0,2.283170928864536,-5.716829071135464,5.716829071135464,evaluated
1,2021-06-18 13:30:00,2021-06-18 13:30:00,1,3.0,1.699289281016319,-1.300710718983681,1.300710718983681,evaluated
1,2021-06-21 08:30:00,2021-06-21 10:00:00,7,31.0,8.001822258967453,-22.99817774103255,22.99817774103255,evaluated
1,2021-06-21 10:30:00,2021-06-21 11:00:00,3,25.0,8.290703274948047,-16.709296725051953,16.709296725051953,evaluated
1,2021-06-21 11:45:00,2021-06-21 12:00:00,2,14.0,5.4150294341569465,-8.584970565843054,8.584970565843054,evaluated
1,2021-06-21 13:15:00,2021-06-21 15:00:00,8,24.0,7.474469877930725,-16.525530122069277,16.525530122069277,evaluated
1,2021-06-21 15:45:00,2021-06-21 15:45:00,1,7.0,2.252443002308613,-4.747556997691387,4.747556997691387,evaluated
1,2021-06-22 09:00:00,2021-06-22 09:00:00,1,1.0,0.1952997008913829,-0.8047002991086171,0.8047002991086171,evaluated
1,2021-06-22 10:45:00,2021-06-22 11:00:00,2,12.0,4.002918516437644,-7.997081483562356,7.997081483562356,evaluated
1,2021-06-22 11:45:00,2021-06-22 11:45:00,1,3.0,1.214282270983059,-1.785717729016941,1.785717729016941,evaluated
1,2021-06-22 14:00:00,2021-06-22 14:00:00,1,9.0,2.8566073855547534,-6.143392614445247,6.143392614445247,evaluated
1,2021-06-24 08:30:00,2021-06-24 09:00:00,3,11.0,3.0458120022964765,-7.9541879977035235,7.9541879977035235,evaluated
1,2021-06-24 13:45:00,2021-06-24 14:00:00,2,13.0,2.7150065497797504,-10.284993450220249,10.284993450220249,evaluated
1,2021-06-24 16:00:00,2021-06-24 16:00:00,1,3.0,0.2415420165523044,-2.7584579834476957,2.7584579834476957,evaluated
1,2021-06-25 09:45:00,2021-06-25 09:45:00,1,1.0,0.8477920216430256,-0.15220797835697442,0.15220797835697442,evaluated
1,2021-06-25 10:45:00,2021-06-25 11:15:00,3,7.0,1.95931478329734,-5.04068521670266,5.04068521670266,evaluated
1,2021-06-25 12:00:00,2021-06-25 12:00:00,1,6.0,1.382074541504105,-4.617925458495895,4.617925458495895,evaluated
1,2021-06-25 13:15:00,2021-06-25 13:30:00,2,8.0,2.181406172746487,-5.818593827253514,5.818593827253514,evaluated
1,2021-06-25 14:15:00,2021-06-25 14:15:00,1,7.0,2.129448320490875,-4.870551679509125,4.870551679509125,evaluated
1,2021-06-25 15:00:00,2021-06-25 15:00:00,1,1.0,0.1915349656558365,-0.8084650343441635,0.8084650343441635,evaluated
1,2021-06-25 15:30:00,2021-06-25 16:00:00,3,9.0,2.253455798566725,-6.7465442014332755,6.7465442014332755,evaluated
1,2021-06-25 18:00:00,2021-06-25 18:00:00,1,3.0,0.5878385343877875,-2.4121614656122126,2.4121614656122126,evaluated
2,2021-07-08 09:00:00,2021-07-08 09:00:00,1,12.0,6.743749394415861,-5.256250605584139,5.256250605584139,evaluated
2,2021-07-08 09:30:00,2021-07-08 10:00:00,3,11.0,4.483045114504986,-6.516954885495014,6.516954885495014,evaluated
2,2021-07-08 10:30:00,2021-07-08 12:00:00,7,26.0,4.052860276514706,-21.947139723485293,21.947139723485293,evaluated
2,2021-07-08 13:30:00,2021-07-08 14:45:00,6,26.0,12.270008689931249,-13.729991310068751,13.729991310068751,evaluated
2,2021-07-08 16:00:00,2021-07-08 16:45:00,4,11.0,5.8857998075125,-5.1142001924875,5.1142001924875,evaluated
2,2021-07-09 08:45:00,2021-07-09 09:00:00,2,13.0,7.895245511007985,-5.104754488992015,5.104754488992015,evaluated
2,2021-07-09 11:00:00,2021-07-09 11:00:00,1,1.0,4.252074027419868,3.2520740274198676,3.2520740274198676,evaluated
2,2021-07-09 11:45:00,2021-07-09 11:45:00,1,1.0,2.6231043266776903,1.6231043266776903,1.6231043266776903,evaluated
2,2021-07-09 13:30:00,2021-07-09 13:45:00,2,11.0,4.132170054448209,-6.867829945551791,6.867829945551791,evaluated
2,2021-07-09 14:30:00,2021-07-09 15:00:00,3,17.0,1.7882630045766787,-15.21173699542332,15.21173699542332,evaluated
2,2021-07-09 15:45:00,2021-07-09 16:15:00,3,13.0,2.604347423217017,-10.395652576782982,10.395652576782982,evaluated
2,2021-07-12 08:30:00,2021-07-12 10:00:00,7,23.0,7.878411220654343,-15.121588779345657,15.121588779345657,evaluated
2,2021-07-12 10:30:00,2021-07-12 12:00:00,7,13.0,11.808693994568117,-1.1913060054318834,1.1913060054318834,evaluated
2,2021-07-12 13:45:00,2021-07-12 13:45:00,1,3.0,7.973908490173159,4.973908490173159,4.973908490173159,evaluated
2,2021-07-12 14:15:00,2021-07-12 15:00:00,4,15.0,5.815659158338868,-9.184340841661133,9.184340841661133,evaluated
2,2021-07-12 15:45:00,2021-07-12 16:15:00,3,13.0,3.5324293233614337,-9.467570676638566,9.467570676638566,evaluated
2,2021-07-12 16:45:00,2021-07-12 17:00:00,2,2.0,1.4783498701509787,-0.5216501298490213,0.5216501298490213,evaluated
2,2021-07-23 08:30:00,2021-07-23 10:00:00,7,27.0,6.040862261158405,-20.959137738841594,20.959137738841594,evaluated
2,2021-07-23 10:30:00,2021-07-23 12:00:00,7,24.0,7.31553494065386,-16.684465059346138,16.684465059346138,evaluated
2,2021-07-23 13:30:00,2021-07-23 15:00:00,7,17.0,10.591287000154,-6.408712999845999,6.408712999845999,evaluated
2,2021-07-23 15:45:00,2021-07-23 17:00:00,6,31.0,3.2102799269686053,-27.789720073031393,27.789720073031393,evaluated
2,2021-07-23 18:00:00,2021-07-23 18:00:00,1,3.0,1.7434123598703302,-1.2565876401296698,1.2565876401296698,evaluated
2,2021-07-23 19:00:00,2021-07-23 19:00:00,1,1.0,4.2272752824492,3.2272752824491997,3.2272752824491997,evaluated
2,2021-07-26 08:15:00,2021-07-26 10:00:00,8,42.0,11.214669688081475,-30.785330311918525,30.785330311918525,evaluated
2,2021-07-26 10:30:00,2021-07-26 12:00:00,7,32.0,14.0553039036222,-17.9446960963778,17.9446960963778,evaluated
2,2021-07-26 13:30:00,2021-07-26 13:45:00,2,5.0,9.724208079457572,4.724208079457572,4.724208079457572,evaluated
2,2021-07-26 14:15:00,2021-07-26 15:00:00,4,24.0,7.911211628874425,-16.088788371125574,16.088788371125574,evaluated
