scenario,fraction,prep_minutes,weight_basis,relative_cost_only,alert_positions,alert_positions_including_duplicate_sources,eligible_unique_source_windows,applied_unique_source_windows,actionable_alert_fraction,actionable_fraction_denominator,load_proxy_total_change,energy_conserved,month,monthly_max_before,monthly_max_after,monthly_max_change,weighted_load_change,new_peak_positions,evaluated_intervals,full_calendar_intervals,observed_fraction_of_full_month,scenario_label,demand_scope
D,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-4.831690603168681e-13,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-22725.8,False,2021-04,182.0,172.0,-10.0,-10224.0,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-22725.8,False,2021-05,199.0,184.0,-15.0,-7325.95,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-22725.8,False,2021-06,208.0,187.2,-20.80000000000001,-17917.8,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-22725.8,False,2021-07,217.0,206.0,-11.0,-14491.0,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-22725.8,False,2021-08,215.0,215.0,0.0,-33.00000000000001,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-45451.6,False,2021-04,182.0,172.0,-10.0,-20448.0,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-45451.6,False,2021-05,199.0,184.0,-15.0,-14651.9,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-45451.6,False,2021-06,208.0,180.0,-28.0,-35835.600000000006,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-45451.6,False,2021-07,217.0,206.0,-11.0,-28982.0,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-45451.6,False,2021-08,215.0,215.0,0.0,-66.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-68177.4,False,2021-04,182.0,172.0,-10.0,-30671.999999999996,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-68177.4,False,2021-05,199.0,184.0,-15.0,-21977.85,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-68177.4,False,2021-06,208.0,180.0,-28.0,-53753.399999999994,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-68177.4,False,2021-07,217.0,206.0,-11.0,-43473.0,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-68177.4,False,2021-08,215.0,215.0,0.0,-99.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
