origin,source_hour,destination_hour,status,production
2021-06-21 13:15:00,2021-06-21 14:00:00,,no_future_low_band_window,1038
2021-06-21 14:30:00,2021-06-21 15:00:00,,no_future_low_band_window,1258
2021-06-21 15:15:00,2021-06-21 16:00:00,,no_future_low_band_window,955
2021-06-21 16:45:00,2021-06-21 17:00:00,,no_future_low_band_window,1810
2021-06-21 17:15:00,2021-06-21 18:00:00,,no_future_low_band_window,2438
2021-06-22 07:15:00,2021-06-22 08:00:00,,no_future_low_band_window,433
2021-06-22 08:15:00,2021-06-22 09:00:00,,no_future_low_band_window,4451
2021-06-22 09:30:00,2021-06-22 10:00:00,,no_future_low_band_window,1033
2021-06-22 10:15:00,2021-06-22 11:00:00,,no_future_low_band_window,1559
2021-06-22 12:15:00,2021-06-22 13:00:00,,no_future_low_band_window,628
2021-06-22 13:15:00,2021-06-22 14:00:00,,no_future_low_band_window,1159
2021-06-22 14:30:00,2021-06-22 15:00:00,,no_future_low_band_window,953
2021-06-23 07:15:00,2021-06-23 08:00:00,,no_future_low_band_window,898
2021-06-23 08:15:00,2021-06-23 09:00:00,,no_future_low_band_window,1005
2021-06-23 09:30:00,2021-06-23 10:00:00,,no_future_low_band_window,4520
2021-06-23 10:30:00,2021-06-23 11:00:00,,no_future_low_band_window,1185
2021-06-24 07:15:00,2021-06-24 08:00:00,,no_future_low_band_window,429
2021-06-24 08:15:00,2021-06-24 09:00:00,,no_future_low_band_window,902
2021-06-24 09:30:00,2021-06-24 10:00:00,,no_future_low_band_window,2375
2021-06-24 10:15:00,2021-06-24 11:00:00,,no_future_low_band_window,2152
2021-06-24 12:30:00,2021-06-24 13:00:00,,no_future_low_band_window,814
2021-06-24 13:45:00,2021-06-24 14:00:00,,no_future_low_band_window,1221
2021-06-24 14:30:00,2021-06-24 15:00:00,,no_future_low_band_window,2131
2021-06-24 15:45:00,2021-06-24 16:00:00,,no_future_low_band_window,959
2021-06-24 17:00:00,2021-06-24 17:00:00,,no_future_low_band_window,232
2021-06-25 07:00:00,2021-06-25 07:00:00,,no_future_low_band_window,1336
2021-06-25 07:15:00,2021-06-25 08:00:00,,no_future_low_band_window,1077
2021-06-25 08:15:00,2021-06-25 09:00:00,,no_future_low_band_window,620
2021-06-25 09:30:00,2021-06-25 10:00:00,,no_future_low_band_window,1426
2021-06-25 10:15:00,2021-06-25 11:00:00,,no_future_low_band_window,1382
2021-06-25 12:15:00,2021-06-25 13:00:00,,no_future_low_band_window,1234
2021-06-25 13:15:00,2021-06-25 14:00:00,,no_future_low_band_window,705
2021-06-25 14:30:00,2021-06-25 15:00:00,,no_future_low_band_window,414
2021-06-25 15:15:00,2021-06-25 16:00:00,,no_future_low_band_window,790
2021-06-25 17:00:00,2021-06-25 17:00:00,,no_future_low_band_window,758
2021-06-25 17:15:00,2021-06-25 18:00:00,,no_future_low_band_window,1300
2021-07-08 07:15:00,2021-07-08 08:00:00,,no_future_low_band_window,560
2021-07-08 08:15:00,2021-07-08 09:00:00,,no_future_low_band_window,516
2021-07-08 09:30:00,2021-07-08 10:00:00,,no_future_low_band_window,112
2021-07-08 10:15:00,2021-07-08 11:00:00,,no_future_low_band_window,562
2021-07-08 12:15:00,2021-07-08 13:00:00,,no_future_low_band_window,2140
2021-07-08 13:15:00,2021-07-08 14:00:00,,no_future_low_band_window,1434
2021-07-08 14:30:00,2021-07-08 15:00:00,,no_future_low_band_window,350
2021-07-08 15:15:00,2021-07-08 16:00:00,,no_future_low_band_window,2282
2021-07-08 17:00:00,2021-07-08 17:00:00,,no_future_low_band_window,86
2021-07-08 17:15:00,2021-07-08 18:00:00,,no_future_low_band_window,3577
