slot,eligible_dates,events,rate,selected,fold,horizon
23,72,0,0.0,False,1,96
24,72,0,0.0,False,1,96
25,72,0,0.0,False,1,96
26,72,0,0.0,False,1,96
27,72,0,0.0,False,1,96
28,72,0,0.0,False,1,96
29,72,0,0.0,False,1,96
30,72,0,0.0,False,1,96
31,72,3,0.041666666666666664,False,1,96
32,72,2,0.027777777777777776,False,1,96
33,72,0,0.0,False,1,96
34,72,0,0.0,False,1,96
35,72,0,0.0,False,1,96
36,72,0,0.0,False,1,96
37,72,0,0.0,False,1,96
38,72,0,0.0,False,1,96
39,72,0,0.0,False,1,96
40,72,0,0.0,False,1,96
41,72,0,0.0,False,1,96
42,72,0,0.0,False,1,96
43,72,0,0.0,False,1,96
44,72,0,0.0,False,1,96
45,72,0,0.0,False,1,96
46,72,0,0.0,False,1,96
47,72,0,0.0,False,1,96
48,72,0,0.0,False,1,96
49,72,0,0.0,False,1,96
50,72,0,0.0,False,1,96
51,72,0,0.0,False,1,96
52,72,0,0.0,False,1,96
53,72,0,0.0,False,1,96
54,72,0,0.0,False,1,96
55,72,0,0.0,False,1,96
56,72,0,0.0,False,1,96
57,72,0,0.0,False,1,96
58,72,0,0.0,False,1,96
59,72,0,0.0,False,1,96
60,72,0,0.0,False,1,96
61,72,0,0.0,False,1,96
62,72,0,0.0,False,1,96
63,72,0,0.0,False,1,96
64,72,0,0.0,False,1,96
65,72,0,0.0,False,1,96
66,72,0,0.0,False,1,96
67,72,0,0.0,False,1,96
68,72,0,0.0,False,1,96
69,72,0,0.0,False,1,96
70,72,0,0.0,False,1,96
71,72,0,0.0,False,1,96
72,72,0,0.0,False,1,96
73,72,0,0.0,False,1,96
74,72,0,0.0,False,1,96
75,72,0,0.0,False,1,96
76,72,0,0.0,False,1,96
77,72,0,0.0,False,1,96
78,72,0,0.0,False,1,96
79,72,0,0.0,False,1,96
80,72,0,0.0,False,1,96
81,72,0,0.0,False,1,96
82,72,0,0.0,False,1,96
83,72,0,0.0,False,1,96
84,72,0,0.0,False,1,96
85,72,0,0.0,False,1,96
86,72,0,0.0,False,1,96
87,72,0,0.0,False,1,96
88,72,0,0.0,False,1,96
89,72,0,0.0,False,1,96
90,72,0,0.0,False,1,96
91,72,0,0.0,False,1,96
92,72,0,0.0,False,1,96
93,72,0,0.0,False,1,96
94,72,0,0.0,False,1,96
95,72,0,0.0,False,1,96
0,95,0,0.0,False,2,96
1,95,0,0.0,False,2,96
2,95,0,0.0,False,2,96
3,95,0,0.0,False,2,96
4,95,0,0.0,False,2,96
5,95,18,0.18947368421052632,True,2,96
6,95,0,0.0,False,2,96
7,95,0,0.0,False,2,96
8,95,0,0.0,False,2,96
9,95,0,0.0,False,2,96
10,95,0,0.0,False,2,96
11,95,0,0.0,False,2,96
12,95,0,0.0,False,2,96
13,95,0,0.0,False,2,96
14,95,0,0.0,False,2,96
15,95,0,0.0,False,2,96
16,95,0,0.0,False,2,96
17,95,0,0.0,False,2,96
18,95,0,0.0,False,2,96
19,95,0,0.0,False,2,96
