origin,target_time,horizon,fold,y,cbl_pred,tau,lgbm_pred,pred,day_type,slot,cbl_abs_error,lgbm_abs_error,error_diff_lgbm_minus_cbl,restart
2021-06-13 18:00:00,2021-06-14 18:00:00,96,1,179.0,155.83333333333334,177.0,149.70761678033975,149.70761678033975,workday,72,23.166666666666657,29.292383219660252,6.125716552993595,False
2021-06-13 18:15:00,2021-06-14 18:15:00,96,1,182.0,152.66666666666666,177.0,153.44960768175778,153.44960768175778,workday,73,29.333333333333343,28.550392318242217,-0.7829410150911258,False
2021-06-13 18:30:00,2021-06-14 18:30:00,96,1,182.0,148.66666666666666,177.0,156.2547647229872,156.2547647229872,workday,74,33.33333333333334,25.745235277012796,-7.588098056320547,False
2021-06-13 18:45:00,2021-06-14 18:45:00,96,1,169.0,145.66666666666666,177.0,153.44960768175778,153.44960768175778,workday,75,23.333333333333343,15.550392318242217,-7.782941015091126,False
2021-06-13 19:00:00,2021-06-14 19:00:00,96,1,158.0,143.33333333333334,177.0,144.4961529530848,144.4961529530848,workday,76,14.666666666666657,13.503847046915212,-1.1628196197514455,False
2021-06-13 19:15:00,2021-06-14 19:15:00,96,1,164.0,141.33333333333334,177.0,132.9011898072358,132.9011898072358,workday,77,22.666666666666657,31.098810192764205,8.432143526097548,False
2021-06-13 19:30:00,2021-06-14 19:30:00,96,1,158.0,135.66666666666666,177.0,144.4961529530848,144.4961529530848,workday,78,22.333333333333343,13.503847046915212,-8.829486286418131,False
2021-06-13 19:45:00,2021-06-14 19:45:00,96,1,157.0,131.33333333333334,177.0,119.50119643572556,119.50119643572556,workday,79,25.666666666666657,37.49880356427444,11.832136897607782,False
2021-06-13 20:00:00,2021-06-14 20:00:00,96,1,122.0,118.33333333333331,177.0,101.29588714840418,101.29588714840418,workday,80,3.6666666666666856,20.704112851595823,17.037446184929138,False
2021-06-13 20:15:00,2021-06-14 20:15:00,96,1,109.0,111.16666666666669,177.0,101.288771822946,101.288771822946,workday,81,2.1666666666666856,7.7112281770539965,5.544561510387311,False
2021-06-13 20:30:00,2021-06-14 20:30:00,96,1,121.0,118.66666666666669,177.0,104.73980071023932,104.73980071023932,workday,82,2.3333333333333144,16.260199289760678,13.926865956427363,False
2021-06-13 20:45:00,2021-06-14 20:45:00,96,1,121.0,117.16666666666669,177.0,104.73980071023932,104.73980071023932,workday,83,3.8333333333333144,16.260199289760678,12.426865956427363,False
2021-06-13 21:00:00,2021-06-14 21:00:00,96,1,126.0,117.33333333333331,177.0,104.73980071023932,104.73980071023932,workday,84,8.666666666666686,21.260199289760678,12.593532623093992,False
2021-06-13 21:15:00,2021-06-14 21:15:00,96,1,120.0,117.33333333333331,177.0,104.73980071023932,104.73980071023932,workday,85,2.6666666666666856,15.260199289760678,12.593532623093992,False
2021-06-13 21:30:00,2021-06-14 21:30:00,96,1,122.0,115.5,177.0,104.73980071023932,104.73980071023932,workday,86,6.5,17.260199289760678,10.760199289760678,False
2021-06-13 21:45:00,2021-06-14 21:45:00,96,1,125.0,114.66666666666669,177.0,104.73980071023932,104.73980071023932,workday,87,10.333333333333314,20.260199289760678,9.926865956427363,False
2021-06-13 22:00:00,2021-06-14 22:00:00,96,1,125.0,112.83333333333331,177.0,104.73980071023932,104.73980071023932,workday,88,12.166666666666686,20.260199289760678,8.093532623093992,False
2021-06-13 22:15:00,2021-06-14 22:15:00,96,1,100.0,94.33333333333331,177.0,87.35943959985904,87.35943959985904,workday,89,5.666666666666686,12.640560400140956,6.97389373347427,False
2021-06-13 22:30:00,2021-06-14 22:30:00,96,1,108.0,107.33333333333331,177.0,101.288771822946,101.288771822946,workday,90,0.6666666666666856,6.7112281770539965,6.044561510387311,False
2021-06-13 22:45:00,2021-06-14 22:45:00,96,1,109.0,107.66666666666669,177.0,101.29588714840418,101.29588714840418,workday,91,1.3333333333333144,7.7041128515958235,6.370779518262509,False
2021-06-13 23:00:00,2021-06-14 23:00:00,96,1,129.0,109.83333333333331,177.0,101.29588714840418,101.29588714840418,workday,92,19.166666666666686,27.704112851595823,8.537446184929138,False
2021-06-13 23:15:00,2021-06-14 23:15:00,96,1,118.0,108.83333333333331,177.0,104.73980071023932,104.73980071023932,workday,93,9.166666666666686,13.260199289760678,4.093532623093992,False
2021-06-13 23:30:00,2021-06-14 23:30:00,96,1,113.0,109.83333333333331,177.0,104.73980071023932,104.73980071023932,workday,94,3.1666666666666856,8.260199289760678,5.093532623093992,False
2021-06-13 23:45:00,2021-06-14 23:45:00,96,1,106.0,103.16666666666669,177.0,101.288771822946,101.288771822946,workday,95,2.8333333333333144,4.7112281770539965,1.8778948437206822,False
2021-06-14 00:00:00,2021-06-15 00:00:00,96,1,90.0,77.0,177.0,83.36939096182316,83.36939096182316,workday,0,13.0,6.630609038176843,-6.369390961823157,False
2021-06-14 00:15:00,2021-06-15 00:15:00,96,1,83.0,65.66666666666667,177.0,73.04625434817548,73.04625434817548,workday,1,17.33333333333333,9.95374565182452,-7.379587681508809,False
2021-06-14 00:30:00,2021-06-15 00:30:00,96,1,77.0,63.66666666666666,177.0,73.04625434817548,73.04625434817548,workday,2,13.333333333333343,3.9537456518245193,-9.379587681508823,False
2021-06-14 00:45:00,2021-06-15 00:45:00,96,1,72.0,63.16666666666666,177.0,73.04625434817548,73.04625434817548,workday,3,8.833333333333343,1.0462543481754807,-7.787078985157862,False
2021-06-14 01:00:00,2021-06-15 01:00:00,96,1,72.0,63.66666666666666,177.0,73.04625434817548,73.04625434817548,workday,4,8.333333333333343,1.0462543481754807,-7.287078985157862,False
2021-06-14 01:15:00,2021-06-15 01:15:00,96,1,100.0,90.66666666666669,177.0,91.40741247783062,91.40741247783062,workday,5,9.333333333333314,8.592587522169381,-0.7407458111639329,False
2021-06-14 01:30:00,2021-06-15 01:30:00,96,1,110.0,98.83333333333331,177.0,95.89779293876649,95.89779293876649,workday,6,11.166666666666686,14.102207061233514,2.9355403945668286,False
2021-06-14 01:45:00,2021-06-15 01:45:00,96,1,115.0,106.0,177.0,104.73980071023932,104.73980071023932,workday,7,9.0,10.260199289760678,1.2601992897606777,False
2021-06-14 02:00:00,2021-06-15 02:00:00,96,1,116.0,106.83333333333331,177.0,104.73980071023932,104.73980071023932,workday,8,9.166666666666686,11.260199289760678,2.093532623093992,False
2021-06-14 02:15:00,2021-06-15 02:15:00,96,1,114.0,104.66666666666669,177.0,104.73980071023932,104.73980071023932,workday,9,9.333333333333314,9.260199289760678,-0.07313404357263664,False
2021-06-14 02:30:00,2021-06-15 02:30:00,96,1,117.0,101.5,177.0,99.64084156185096,99.64084156185096,workday,10,15.5,17.359158438149038,1.8591584381490378,False
2021-06-14 02:45:00,2021-06-15 02:45:00,96,1,121.0,103.5,177.0,101.29588714840418,101.29588714840418,workday,11,17.5,19.704112851595823,2.2041128515958235,False
2021-06-14 03:00:00,2021-06-15 03:00:00,96,1,117.0,107.16666666666669,177.0,104.73980071023932,104.73980071023932,workday,12,9.833333333333314,12.260199289760678,2.4268659564273634,False
2021-06-14 03:15:00,2021-06-15 03:15:00,96,1,104.0,92.66666666666669,177.0,91.41378664128264,91.41378664128264,workday,13,11.333333333333314,12.586213358717359,1.2528800253840444,False
2021-06-14 03:30:00,2021-06-15 03:30:00,96,1,119.0,105.0,177.0,104.73980071023932,104.73980071023932,workday,14,14.0,14.260199289760678,0.26019928976067774,False
2021-06-14 03:45:00,2021-06-15 03:45:00,96,1,117.0,102.33333333333331,177.0,99.64084156185096,99.64084156185096,workday,15,14.666666666666686,17.359158438149038,2.692491771482352,False
2021-06-14 04:00:00,2021-06-15 04:00:00,96,1,123.0,102.83333333333331,177.0,104.73980071023932,104.73980071023932,workday,16,20.166666666666686,18.260199289760678,-1.9064673769060079,False
2021-06-14 04:15:00,2021-06-15 04:15:00,96,1,122.0,105.33333333333331,177.0,104.73980071023932,104.73980071023932,workday,17,16.666666666666686,17.260199289760678,0.5935326230939921,False
2021-06-14 04:30:00,2021-06-15 04:30:00,96,1,111.0,104.33333333333331,177.0,104.73980071023932,104.73980071023932,workday,18,6.666666666666686,6.260199289760678,-0.40646737690600787,False
2021-06-14 04:45:00,2021-06-15 04:45:00,96,1,100.0,102.16666666666669,177.0,101.288771822946,101.288771822946,workday,19,2.1666666666666856,1.2887718229460035,-0.8778948437206822,False
2021-06-14 05:00:00,2021-06-15 05:00:00,96,1,106.0,100.83333333333331,177.0,104.73980071023932,104.73980071023932,workday,20,5.166666666666686,1.2601992897606777,-3.906467376906008,False
2021-06-14 05:15:00,2021-06-15 05:15:00,96,1,94.0,80.83333333333333,177.0,85.33584163168014,85.33584163168014,workday,21,13.166666666666671,8.66415836831986,-4.502508298346811,False
2021-06-14 05:30:00,2021-06-15 05:30:00,96,1,87.0,73.83333333333333,177.0,75.10246915345297,75.10246915345297,workday,22,13.166666666666671,11.897530846547028,-1.2691358201196437,False
2021-06-14 05:45:00,2021-06-15 05:45:00,96,1,96.0,92.33333333333331,177.0,95.89779293876649,95.89779293876649,workday,23,3.6666666666666856,0.1022070612335142,-3.5644596054331714,False
2021-06-14 06:00:00,2021-06-15 06:00:00,96,1,112.0,100.33333333333331,177.0,101.288771822946,101.288771822946,workday,24,11.666666666666686,10.711228177053997,-0.9554384896126891,False
2021-06-14 06:15:00,2021-06-15 06:15:00,96,1,121.0,109.33333333333331,177.0,104.73980071023932,104.73980071023932,workday,25,11.666666666666686,16.260199289760678,4.593532623093992,False
2021-06-14 06:30:00,2021-06-15 06:30:00,96,1,118.0,102.66666666666669,177.0,104.73980071023932,104.73980071023932,workday,26,15.333333333333314,13.260199289760678,-2.0731340435726366,False
2021-06-14 06:45:00,2021-06-15 06:45:00,96,1,117.0,101.83333333333331,177.0,99.64084156185096,99.64084156185096,workday,27,15.166666666666686,17.359158438149038,2.192491771482352,False
2021-06-14 07:00:00,2021-06-15 07:00:00,96,1,117.0,98.5,177.0,87.35943959985904,87.35943959985904,workday,28,18.5,29.640560400140956,11.140560400140956,False
2021-06-14 07:15:00,2021-06-15 07:15:00,96,1,116.0,99.83333333333331,177.0,77.12606712163188,77.12606712163188,workday,29,16.166666666666686,38.87393287836812,22.707266211701437,False
2021-06-14 07:30:00,2021-06-15 07:30:00,96,1,119.0,107.5,177.0,87.04803451655528,87.04803451655528,workday,30,11.5,31.951965483444724,20.451965483444724,False
2021-06-14 07:45:00,2021-06-15 07:45:00,96,1,144.0,134.66666666666666,177.0,110.08532957808272,110.08532957808272,workday,31,9.333333333333343,33.91467042191728,24.581337088583936,False
2021-06-14 08:00:00,2021-06-15 08:00:00,96,1,150.0,134.33333333333334,177.0,114.00415711017544,114.00415711017544,workday,32,15.666666666666657,35.99584288982456,20.3291762231579,False
2021-06-14 08:15:00,2021-06-15 08:15:00,96,1,176.0,153.66666666666666,177.0,140.4024287759974,140.4024287759974,workday,33,22.333333333333343,35.59757122400259,13.26423789066925,False
2021-06-14 08:30:00,2021-06-15 08:30:00,96,1,196.0,166.16666666666666,177.0,158.913759321792,158.913759321792,workday,34,29.833333333333343,37.086240678207986,7.252907344874643,False
2021-06-14 08:45:00,2021-06-15 08:45:00,96,1,198.0,170.16666666666666,177.0,159.3888829105755,159.3888829105755,workday,35,27.833333333333343,38.61111708942451,10.777783756091168,False
2021-06-14 09:00:00,2021-06-15 09:00:00,96,1,181.0,170.5,177.0,159.3888829105755,159.3888829105755,workday,36,10.5,21.61111708942451,11.11111708942451,False
2021-06-14 09:15:00,2021-06-15 09:15:00,96,1,184.0,168.83333333333334,177.0,159.3888829105755,159.3888829105755,workday,37,15.166666666666657,24.61111708942451,9.444450422757853,False
2021-06-14 09:30:00,2021-06-15 09:30:00,96,1,195.0,165.83333333333334,177.0,159.3888829105755,159.3888829105755,workday,38,29.166666666666657,35.61111708942451,6.444450422757853,False
2021-06-14 09:45:00,2021-06-15 09:45:00,96,1,176.0,167.83333333333334,177.0,159.3888829105755,159.3888829105755,workday,39,8.166666666666657,16.61111708942451,8.444450422757853,False
2021-06-14 10:00:00,2021-06-15 10:00:00,96,1,188.0,168.0,177.0,159.3888829105755,159.3888829105755,workday,40,20.0,28.61111708942451,8.61111708942451,False
2021-06-14 10:15:00,2021-06-15 10:15:00,96,1,138.0,132.33333333333334,177.0,131.11951275296698,131.11951275296698,workday,41,5.666666666666657,6.880487247033017,1.2138205803663595,False
2021-06-14 10:30:00,2021-06-15 10:30:00,96,1,174.0,169.5,177.0,158.913759321792,158.913759321792,workday,42,4.5,15.086240678207986,10.586240678207986,False
