h4_fold,peak_start,peak_slot,horizon,origin,origin_on_history_grid,origin_has_clean_power,target_in_original_horizon_score,horizon_score_fold,slot_selected_from_horizon_fold_fit,analysis_role
2,2021-07-09 11:00:00,44,96,2021-07-08 11:00:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 11:45:00,47,16,2021-07-09 07:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 11:45:00,47,96,2021-07-08 11:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 13:30:00,54,16,2021-07-09 09:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 13:30:00,54,96,2021-07-08 13:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 14:30:00,58,16,2021-07-09 10:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 14:30:00,58,96,2021-07-08 14:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 15:45:00,63,16,2021-07-09 11:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-09 15:45:00,63,96,2021-07-08 15:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 08:30:00,34,16,2021-07-12 04:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 08:30:00,34,96,2021-07-11 08:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 10:30:00,42,16,2021-07-12 06:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 10:30:00,42,96,2021-07-11 10:30:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 13:45:00,55,16,2021-07-12 09:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 13:45:00,55,96,2021-07-11 13:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 14:15:00,57,16,2021-07-12 10:15:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 14:15:00,57,96,2021-07-11 14:15:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 15:45:00,63,16,2021-07-12 11:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 15:45:00,63,96,2021-07-11 15:45:00,True,True,True,2.0,False,descriptive_coverage_only
2,2021-07-12 16:45:00,67,16,2021-07-12 12:45:00,True,True,True,2.0,False,descriptive_coverage_only
