analysis,horizon,fold,day_type,slot,restart,n,peak_n,cbl_mae,lgbm_mae,error_diff_lgbm_minus_cbl
A4,16,0,workday,5,False,20,0,22.116666666666667,21.25239613995183,-0.8642705267148341
A4,16,0,workday,6,False,20,0,28.375,27.546895161585553,-0.8281048384144544
A4,16,0,workday,7,False,20,0,28.758333333333336,28.641735487257392,-0.11659784607594581
A4,16,0,workday,8,False,20,0,28.74999999999999,29.36436210124004,0.6143621012400363
A4,16,0,workday,9,False,20,0,29.241666666666667,29.499690369643844,0.2580237029771883
A4,16,0,workday,10,False,20,0,30.475,29.08356781975261,-1.3914321802473886
A4,16,0,workday,11,False,20,0,29.45,28.289727049076653,-1.1602729509233463
A4,16,0,workday,12,False,20,0,26.508333333333333,30.898477276362932,4.390143943029594
A4,16,0,workday,13,False,20,0,22.066666666666666,24.682313430956004,2.615646764289336
A4,16,0,workday,14,False,20,0,27.775000000000006,31.87349536964532,4.0984953696453195
A4,16,0,workday,15,False,20,0,28.641666666666662,32.032140595333125,3.3904739286664594
A4,16,0,workday,16,False,20,0,28.733333333333338,28.303483165282803,-0.42985016805053
A4,16,0,workday,17,False,20,0,26.849999999999994,16.90695144431066,-9.943048555689336
A4,16,0,workday,18,False,20,0,28.975,18.136447849157364,-10.83855215084264
A4,16,0,workday,19,False,20,0,29.23333333333333,17.182158100202503,-12.051175233130834
A4,16,0,workday,20,False,20,0,30.850000000000005,16.98096139802281,-13.869038601977191
A4,16,0,workday,21,False,20,0,21.333333333333336,8.53491252561121,-12.798420807722122
A4,16,0,workday,22,False,20,0,17.59166666666667,9.880253153383757,-7.711413513282912
A4,16,0,workday,23,False,20,0,26.066666666666663,9.858996146196215,-16.20767052047045
A4,16,0,workday,24,False,20,0,29.891666666666673,13.267318091070118,-16.624348575596553
A4,16,0,workday,25,False,20,0,28.291666666666664,11.143847268749457,-17.147819397917207
A4,16,0,workday,26,False,20,0,28.391666666666662,11.768341155976579,-16.62332551069009
A4,16,0,workday,27,False,20,0,28.933333333333326,11.922880049875957,-17.010453283457373
