fold,start,end,max_power,tau,slot,is_offday,selected_restart_slot
1,2021-06-18 13:30:00,2021-06-18 13:30:00,180.0,177.0,54,False,False
1,2021-06-21 08:30:00,2021-06-21 10:00:00,208.0,177.0,34,False,False
1,2021-06-21 10:30:00,2021-06-21 11:00:00,202.0,177.0,42,False,False
1,2021-06-21 11:45:00,2021-06-21 12:00:00,191.0,177.0,47,False,False
1,2021-06-21 13:15:00,2021-06-21 15:00:00,201.0,177.0,53,False,False
1,2021-06-21 15:45:00,2021-06-21 15:45:00,184.0,177.0,63,False,False
1,2021-06-22 09:00:00,2021-06-22 09:00:00,178.0,177.0,36,False,False
1,2021-06-22 10:45:00,2021-06-22 11:00:00,189.0,177.0,43,False,False
1,2021-06-22 11:45:00,2021-06-22 11:45:00,180.0,177.0,47,False,False
1,2021-06-22 14:00:00,2021-06-22 14:00:00,186.0,177.0,56,False,False
1,2021-06-24 08:30:00,2021-06-24 09:00:00,188.0,177.0,34,False,False
1,2021-06-24 13:45:00,2021-06-24 14:00:00,190.0,177.0,55,False,False
1,2021-06-24 16:00:00,2021-06-24 16:00:00,180.0,177.0,64,False,False
1,2021-06-25 09:45:00,2021-06-25 09:45:00,178.0,177.0,39,False,False
1,2021-06-25 10:45:00,2021-06-25 11:15:00,184.0,177.0,43,False,False
1,2021-06-25 12:00:00,2021-06-25 12:00:00,183.0,177.0,48,False,False
1,2021-06-25 13:15:00,2021-06-25 13:30:00,185.0,177.0,53,False,False
1,2021-06-25 14:15:00,2021-06-25 14:15:00,184.0,177.0,57,False,False
1,2021-06-25 15:00:00,2021-06-25 15:00:00,178.0,177.0,60,False,False
1,2021-06-25 15:30:00,2021-06-25 16:00:00,186.0,177.0,62,False,False
1,2021-06-25 18:00:00,2021-06-25 18:00:00,180.0,177.0,72,False,False
2,2021-07-08 09:00:00,2021-07-08 09:00:00,187.0,175.0,36,False,False
2,2021-07-08 09:30:00,2021-07-08 10:00:00,186.0,175.0,38,False,False
2,2021-07-08 10:30:00,2021-07-08 12:00:00,201.0,175.0,42,False,False
2,2021-07-08 13:30:00,2021-07-08 14:45:00,201.0,175.0,54,False,False
2,2021-07-08 16:00:00,2021-07-08 16:45:00,186.0,175.0,64,False,False
2,2021-07-09 08:45:00,2021-07-09 09:00:00,188.0,175.0,35,False,False
2,2021-07-09 11:00:00,2021-07-09 11:00:00,176.0,175.0,44,False,False
